2.您的性别是？,3.您的入学年份是,4.请问您所在的系是？,5.请问您上的微积分或分析课程是？,6.您之前学过微积分吗？,7.您修读高数或数分这门课的原因是,10.您在高数学习的过程中，如果不使用/少使用答案，您的学习会更好吗？,11.请问您上的计算机编程基础课程是？,12.您之前有编程的基础吗？,13.您修读计算机类基础课（即JAVA，C等）这门课的原因是,16.您在编程课学习的过程中，如果不使用/少使用答案，您的学习会更好吗？,0
A.男,A.2022级,A.数学系,A.数学分析,A.接触过物理竞赛等需要学习微积分的竞赛,C.认为这是将来学习工作的基础,C.其他____________,C.Python,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,M.材料科学与工程系,B.高等数学,A.接触过物理竞赛等需要学习微积分的竞赛,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,U.统计系,A.数学分析,B.简单预习过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,U.统计与数据科学系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,C.其他____________,A.Java A,C.没有编程基础,B.感觉可能会有用,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,U.统计与数据科学系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的解题能力,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,U.统计与数据科学系,A.数学分析,C.没有学过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,U.统计与数据科学系,A.数学分析,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,U.统计与数据科学系,A.数学分析,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,B.Java B,C.没有编程基础,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,Q.生物医学工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的解题能力,B.Java B,C.没有编程基础,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,O.计算机科学与工程系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,C.其他____________,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,C.其他____________,1
A.男,C.2020级,O.计算机科学与工程系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,C.其他____________,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,C.认为是将来学习工作的基础,C.其他____________,1
A.男,C.2020级,O.计算机科学与工程系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,D.感兴趣,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,O.计算机科学与工程系,B.高等数学,B.简单预习过,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的解题能力,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,O.计算机科学与工程系,A.数学分析,C.没有学过,B.感觉可能会有用,C.其他____________,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,A.如果不是必修我才不学呢,C.其他____________,1
A.男,C.2020级,N.电子与电气工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,B.Java B,C.没有编程基础,B.感觉可能会有用,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,N.电子与电气工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,E.没考虑过,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,N.电子与电气工程系,B.高等数学,A.接触过物理竞赛等需要学习微积分的竞赛,C.认为这是将来学习工作的基础,C.其他____________,A.Java A,B.仅仅简单了解,B.感觉可能会有用,C.其他____________,1
B.女,A.2022级,B.物理系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,C.Python,C.没有编程基础,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,A.2022级,F.医学院,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,C.Python,C.没有编程基础,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的编程能力,1
B.女,A.2022级,K.力学与航空航天工程系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,B.Java B,B.仅仅简单了解,E.没考虑过,B.是的，少使用答案更加能锻炼我的编程能力,1
B.女,B.2021级,F.医学院,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,B.2021级,U.统计与数据科学系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,B.2021级,O.计算机科学与工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的解题能力,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,B.2021级,O.计算机科学与工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,B.2021级,N.电子与电气工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的编程能力,1
B.女,B.2021级,J.信息系统与管理工程系,B.高等数学,C.没有学过,B.感觉可能会有用,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,B.2021级,I.金融系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的解题能力,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,B.2021级,F.医学院,B.高等数学,B.简单预习过,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的解题能力,B.Java B,B.仅仅简单了解,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,A.2022级,L.机械与能源工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,B.2021级,E.生物系,B.高等数学,A.接触过物理竞赛等需要学习微积分的竞赛,A.如果不是必修我才不学呢,C.其他____________,B.Java B,B.仅仅简单了解,A.如果不是必修我才不学呢,C.其他____________,1
B.女,B.2021级,B.物理系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,C.其他____________,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,A.2022级,R.环境科学与工程系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的解题能力,E.C,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,A.2022级,R.环境科学与工程系,B.高等数学,C.没有学过,B.感觉可能会有用,B.是的，少使用答案更加能锻炼我的解题能力,E.C,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,A.2022级,Q.生物医学工程系,B.高等数学,C.没有学过,D.感兴趣,A.肯定不会，答案的提示对我学会微积分帮助很大,C.Python,B.仅仅简单了解,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
B.女,A.2022级,N.电子与电气工程系,B.高等数学,C.没有学过,B.感觉可能会有用,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,M.材料科学与工程系,B.高等数学,C.没有学过,B.感觉可能会有用,A.肯定不会，答案的提示对我学会微积分帮助很大,B.Java B,C.没有编程基础,B.感觉可能会有用,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,J.信息系统与管理工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,B.Java B,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,A.数学系,A.数学分析,B.简单预习过,D.感兴趣,A.肯定不会，答案的提示对我学会微积分帮助很大,D.MATLAB,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,D.感兴趣,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,C.2020级,E.生物系,B.高等数学,B.简单预习过,B.感觉可能会有用,C.其他____________,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,C.其他____________,1
A.男,A.2022级,S.深港微电子学院,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,E.C,B.仅仅简单了解,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,A.2022级,O.计算机科学与工程系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,A.2022级,O.计算机科学与工程系,B.高等数学,C.没有学过,B.感觉可能会有用,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,B.感觉可能会有用,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,A.2022级,O.计算机科学与工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的解题能力,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,A.2022级,O.计算机科学与工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,C.其他____________,1
A.男,A.2022级,O.计算机科学与工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,O.计算机科学与工程系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,N.电子与电气工程系,C.高等微积分（22级）,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,E.C,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,N.电子与电气工程系,B.高等数学,C.没有学过,B.感觉可能会有用,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,N.电子与电气工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,B.Java B,C.没有编程基础,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,N.电子与电气工程系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,I.金融系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的解题能力,C.Python,C.没有编程基础,C.认为是将来学习工作的基础,C.其他____________,1
A.男,A.2022级,E.生物系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,C.Python,C.没有编程基础,C.认为是将来学习工作的基础,C.其他____________,1
A.男,A.2022级,E.生物系,B.高等数学,C.没有学过,B.感觉可能会有用,C.其他____________,E.C,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,E.没考虑过,C.其他____________,1
A.男,A.2022级,B.物理系,A.数学分析,A.接触过物理竞赛等需要学习微积分的竞赛,D.感兴趣,A.肯定不会，答案的提示对我学会微积分帮助很大,E.C,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,S.深港微电子学院,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的解题能力,E.C,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,A.2022级,U.统计与数据科学系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的解题能力,C.Python,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,B.2021级,E.生物系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,B.感觉可能会有用,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,B.2021级,O.计算机科学与工程系,B.高等数学,B.简单预习过,D.感兴趣,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,E.没考虑过,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,C.2020级,A.数学系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,D.感兴趣,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,B.2021级,U.统计与数据科学系,A.数学分析,C.没有学过,B.感觉可能会有用,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,B.2021级,U.统计与数据科学系,A.数学分析,A.接触过物理竞赛等需要学习微积分的竞赛,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,C.其他____________,1
A.男,B.2021级,S.深港微电子学院,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,B.2021级,O.计算机科学与工程系,B.高等数学,C.没有学过,C.认为这是将来学习工作的基础,C.其他____________,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,C.其他____________,1
A.男,B.2021级,O.计算机科学与工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,B.感觉可能会有用,C.其他____________,1
A.男,B.2021级,O.计算机科学与工程系,B.高等数学,B.简单预习过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,A.如果不是必修我才不学呢,C.其他____________,1
A.男,B.2021级,I.金融系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的解题能力,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,B.2021级,O.计算机科学与工程系,B.高等数学,B.简单预习过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,B.2021级,O.计算机科学与工程系,B.高等数学,A.接触过物理竞赛等需要学习微积分的竞赛,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,A.接触过信息学竞赛或者机器人竞赛等需要学习编程知识的竞赛,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,B.2021级,N.电子与电气工程系,B.高等数学,A.接触过物理竞赛等需要学习微积分的竞赛,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,B.2021级,M.材料科学与工程系,B.高等数学,C.没有学过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的编程能力,1
A.男,B.2021级,L.机械与能源工程系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,C.没有编程基础,C.认为是将来学习工作的基础,A.肯定不会，答案的提示对我学会编程帮助很大,1
A.男,B.2021级,L.机械与能源工程系,B.高等数学,B.简单预习过,A.如果不是必修我才不学呢,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,A.如果不是必修我才不学呢,B.是的，少使用答案更加能锻炼我的编程能力,1
B.女,C.2020级,N.电子与电气工程系,B.高等数学,B.简单预习过,C.认为这是将来学习工作的基础,A.肯定不会，答案的提示对我学会微积分帮助很大,A.Java A,B.仅仅简单了解,C.认为是将来学习工作的基础,B.是的，少使用答案更加能锻炼我的编程能力,1
